https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.7553E+12,16-08-2025 00:00,BTC/USD,117490,118070,117380,117590,10118198.41,86.046419
1.75522E+12,15-08-2025 00:00,BTC/USD,118440,119360,116990,117520,32036892.28,272.6080011
1.75513E+12,14-08-2025 00:00,BTC/USD,123320,123640,117190,118410,47497384.33,401.1264617
1.75504E+12,13-08-2025 00:00,BTC/USD,120090,123380,118890,123320,76093748.25,617.0430445
1.75496E+12,12-08-2025 00:00,BTC/USD,118820,120280,118290,120080,25935212.02,215.9827783
1.75487E+12,11-08-2025 00:00,BTC/USD,119370,122370,118200,118850,40531885.72,341.0339564
1.75478E+12,10-08-2025 00:00,BTC/USD,116550,119430,116530,119370,25564786.36,214.1642487
1.7547E+12,09-08-2025 00:00,BTC/USD,116790,117950,116470,116550,9961541.695,85.47011321
1.75461E+12,08-08-2025 00:00,BTC/USD,117590,117900,116040,116790,88476732.02,757.5711278
1.75452E+12,07-08-2025 00:00,BTC/USD,115160,117800,114470,117580,38110795.19,324.1265112
1.75444E+12,06-08-2025 00:00,BTC/USD,114190,115870,113470,115160,57717789.47,501.1965046
1.75435E+12,05-08-2025 00:00,BTC/USD,115190,115220,112720,114180,54669752.47,478.8032271
1.75427E+12,04-08-2025 00:00,BTC/USD,114390,115810,114270,115200,44088836.63,382.7155958
1.75418E+12,03-08-2025 00:00,BTC/USD,112790,114980,112210,114450,64644084.97,564.8238093
1.75409E+12,02-08-2025 00:00,BTC/USD,113450,114260,112240,112810,53295914.16,472.4396255
1.75401E+12,01-08-2025 00:00,BTC/USD,115940,116270,112830,113460,99682799.41,878.5721789
1.75392E+12,31-07-2025 00:00,BTC/USD,118040,119100,115720,115970,53714846.65,463.1788104
1.75383E+12,30-07-2025 00:00,BTC/USD,118120,118930,116050,118050,53548227.07,453.6063285
1.75375E+12,29-07-2025 00:00,BTC/USD,118200,119410,117120,118110,47063235.97,398.4695281
1.75366E+12,28-07-2025 00:00,BTC/USD,119590,119900,117630,118200,34073386.5,288.2689213
1.75357E+12,27-07-2025 00:00,BTC/USD,118030,119870,117960,119580,21250502.81,177.7095067
1.75349E+12,26-07-2025 00:00,BTC/USD,117690,118430,117260,118030,11092258.67,93.97829936
1.7534E+12,25-07-2025 00:00,BTC/USD,118420,118520,114800,117700,43293804.43,367.8318133
1.75332E+12,24-07-2025 00:00,BTC/USD,118870,119590,117250,118380,25463339.14,215.0983202
1.75323E+12,23-07-2025 00:00,BTC/USD,119990,120110,117460,118900,56401195.83,474.3582492
1.75314E+12,22-07-2025 00:00,BTC/USD,117420,120250,116150,119970,39724205.12,331.1178221
1.75306E+12,21-07-2025 00:00,BTC/USD,117230,119630,116550,117460,30027852.79,255.6432215
1.75297E+12,20-07-2025 00:00,BTC/USD,117890,118800,116410,117240,19235088.86,164.0659234
1.75288E+12,19-07-2025 00:00,BTC/USD,118010,118480,117300,117900,6393437.928,54.22763298
1.7528E+12,18-07-2025 00:00,BTC/USD,119250,120920,116930,118000,28507200.48,241.5864447
1.75271E+12,17-07-2025 00:00,BTC/USD,118690,121050,117500,119250,47678899.22,399.8230543
1.75262E+12,16-07-2025 00:00,BTC/USD,117870,120110,117160,118690,26280193.51,221.4187674
1.75254E+12,15-07-2025 00:00,BTC/USD,119820,119920,115820,117830,76118458.63,646.0023646
1.75245E+12,14-07-2025 00:00,BTC/USD,118950,123120,118790,119820,55595078.23,463.9883011
1.75236E+12,13-07-2025 00:00,BTC/USD,117300,119310,117120,118940,27061034.79,227.5183689
1.75228E+12,12-07-2025 00:00,BTC/USD,117430,118070,116720,117280,7046132.75,60.07957665
1.75219E+12,11-07-2025 00:00,BTC/USD,115960,118790,115230,117400,46663390.01,397.4735095
1.75211E+12,10-07-2025 00:00,BTC/USD,111420,117430,110670,115950,189592173.2,1635.12008
1.75202E+12,09-07-2025 00:00,BTC/USD,109070,111990,108480,111380,44601440.7,400.4438921
1.75193E+12,08-07-2025 00:00,BTC/USD,108400,109340,107630,109060,21407474.99,196.2908031
1.75185E+12,07-07-2025 00:00,BTC/USD,109360,109830,107700,108420,16847030.94,155.3867454
1.75176E+12,06-07-2025 00:00,BTC/USD,108340,109860,107980,109380,16795845.34,153.5549949
1.75167E+12,05-07-2025 00:00,BTC/USD,108180,108540,107920,108330,4552018.634,42.01992647
1.75159E+12,04-07-2025 00:00,BTC/USD,109760,109910,107470,108200,20993186.66,194.0220578
1.7515E+12,03-07-2025 00:00,BTC/USD,108990,110700,108710,109760,17751922.6,161.7339887
1.75141E+12,02-07-2025 00:00,BTC/USD,105910,109900,105270,108980,36138256.67,331.604484
1.75133E+12,01-07-2025 00:00,BTC/USD,107250,107620,105460,105920,139682167.1,1318.751578
1.75124E+12,30-06-2025 00:00,BTC/USD,108380,108790,106950,107250,65401957.61,609.8084626
1.75116E+12,29-06-2025 00:00,BTC/USD,107330,108590,107220,108370,8712484.262,80.39572079
1.75107E+12,28-06-2025 00:00,BTC/USD,107080,107550,106890,107340,12476943.85,116.2375987
1.75098E+12,27-06-2025 00:00,BTC/USD,106950,107750,106370,107100,16487821.84,153.9479163
1.7509E+12,26-06-2025 00:00,BTC/USD,107330,108250,106520,106950,14380349.9,134.4586246
1.75081E+12,25-06-2025 00:00,BTC/USD,106120,108130,105920,107340,17028099.96,158.6370409
