date,eth_open,eth_high,eth_low,eth_close,eth_volume
2024-06-21,3511.268311,3542.957275,3447.935547,3516.075684,15933353456
2024-06-22,3516.55127,3519.497559,3477.169922,3494.813477,7423703673
2024-06-23,3494.953857,3519.324951,3408.583008,3418.611816,9418141333
2024-06-24,3418.783203,3430.698975,3244.241455,3350.256348,23137744903
2024-06-25,3350.555664,3422.213379,3335.556885,3395.029053,13235546063
2024-06-26,3394.373291,3421.509521,3328.390625,3369.477295,11694054195
2024-06-27,3368.88623,3470.923096,3362.264648,3444.800537,11771834016
2024-06-28,3445.498779,3482.95752,3363.4375,3373.635986,12861158844
2024-06-29,3373.689941,3401.730225,3369.552734,3372.967773,6584792001
2024-06-30,3373.075684,3453.211426,3352.284424,3432.88916,8396416013
2024-07-01,3432.607422,3513.310791,3425.323242,3440.341553,12281551839
2024-07-02,3439.381348,3459.761475,3399.026123,3416.354736,9421757718
2024-07-03,3416.254883,3426.332275,3254.52124,3292.916748,16121324440
2024-07-04,3291.817871,3309.203613,3054.521973,3054.521973,20252514386
2024-07-05,3057.833252,3106.152588,2826.014404,2981.598633,31131942647
2024-07-06,2981.988037,3080.107422,2957.395752,3069.37793,11586293705
2024-07-07,3067.405029,3072.814453,2923.959229,2929.387207,10857947538
2024-07-08,2929.861572,3090.664551,2826.481689,3018.731934,22627377457
2024-07-09,3018.803223,3105.800537,3005.522217,3064.032959,15269945822
2024-07-10,3066.137207,3148.407471,3026.608398,3102.21875,14578679176
2024-07-11,3101.335205,3208.938477,3057.219238,3100.330811,15230095766
2024-07-12,3099.98999,3154.601563,3048.508057,3134.158691,12751638331
2024-07-13,3134.550537,3199.989502,3115.080322,3177.19873,8565105946
2024-07-14,3176.741455,3266.487549,3166.431152,3244.079102,10517709666
2024-07-15,3246.131592,3494.098389,3235.776123,3489.552734,18305490390
2024-07-16,3486.144043,3498.218994,3351.779785,3443.513428,20446664416
2024-07-17,3446.736816,3516.104248,3379.099609,3388.752441,16739123962
2024-07-18,3388.030029,3488.715576,3374.990479,3426.258545,15035622003
2024-07-19,3425.908691,3540.588379,3377.877686,3505.734863,17705629736
2024-07-20,3505.721436,3539.904297,3482.489014,3519.29541,10360198325
2024-07-21,3519.426514,3546.619141,3415.443848,3536.605469,13845913681
2024-07-22,3536.627197,3560.075439,3425.795654,3440.419922,18723199034
2024-07-23,3440.768311,3539.531738,3395.420898,3481.99585,24468405650
2024-07-24,3482.151855,3487.653076,3304.039307,3336.339355,16040945448
2024-07-25,3336.362305,3341.438477,3088.764404,3174.427246,25293745810
2024-07-26,3174.051025,3285.760986,3172.7771,3275.951416,15993893521
2024-07-27,3275.891602,3327.426514,3195.356689,3247.60791,15198233287
2024-07-28,3247.507324,3283.1521,3201.763184,3271.4646,8959236446
2024-07-29,3271.453369,3396.625732,3257.715576,3320.539307,18334852719
2024-07-30,3320.635254,3365.32251,3235.76001,3278.667725,14045773047
2024-07-31,3278.686523,3347.636475,3216.071777,3231.295654,16135380637
2024-08-01,3231.248779,3241.777344,3078.543945,3201.564453,20217639556
2024-08-02,3201.599365,3214.5271,2965.733887,2986.013184,21400241741
2024-08-03,2985.950928,3015.296143,2861.17749,2903.385742,17844091431
2024-08-04,2903.088623,2931.47168,2639.56665,2686.398926,21139601426
2024-08-05,2686.027588,2695.886719,2122.546143,2417.206299,67668132244
2024-08-06,2417.269775,2553.581055,2416.5271,2458.723877,26041995921
2024-08-07,2458.989014,2551.560791,2312.168701,2336.589355,24264218606
2024-08-08,2336.915039,2721.95459,2322.529541,2683.352783,23468291180
2024-08-09,2683.719971,2706.451172,2555.229492,2599.598633,17907141655
2024-08-10,2599.582275,2642.925781,2580.661865,2610.022949,9361014219
2024-08-11,2609.969727,2718.797607,2544.174805,2553.252197,13595441987
2024-08-12,2553.496582,2749.13501,2513.394043,2724.431885,21653090666
2024-08-13,2724.303467,2737.990479,2613.80127,2703.671875,16383053029
2024-08-14,2703.586914,2775.281006,2636.705322,2662.914795,15825365408
2024-08-15,2662.885498,2675.314453,2518.670654,2570.087646,16345801912
2024-08-16,2570.085205,2629.383545,2553.071533,2593.186523,13275561555
2024-08-17,2593.166992,2626.672852,2588.785156,2614.546875,6676568717
2024-08-18,2614.109619,2684.031006,2596.735107,2613.357178,9207267415
2024-08-19,2612.718506,2648.284424,2566.401123,2637.306396,11968963282
2024-08-20,2637.306396,2695.913818,2556.747559,2573.106934,13249483464
2024-08-21,2573.108887,2662.953369,2538.657715,2631.395508,12766015263
2024-08-22,2630.864258,2644.82373,2587.110596,2622.951416,10723280428
2024-08-23,2622.916016,2799.329834,2622.581055,2764.447021,16857181970
2024-08-24,2765.481445,2820.020508,2737.776611,2769.389648,11765811307
2024-08-25,2769.098145,2793.012939,2736.088867,2749.157715,9375535539
2024-08-26,2749.247559,2763.00415,2668.886719,2681.340576,12282035835
2024-08-27,2681.622803,2700.152832,2401.175049,2458.726563,18028996056
2024-08-28,2458.904785,2553.820068,2422.293701,2528.415527,20359545410
2024-08-29,2528.362305,2595.977051,2507.502441,2528.792725,13946434277
2024-08-30,2528.732178,2539.915283,2432.834473,2525.822021,15526218255
2024-08-31,2525.859131,2532.389893,2493.705566,2513.393799,6646876013
2024-09-01,2513.424316,2515.467285,2401.88916,2427.902344,11800443265
2024-09-02,2427.973389,2563.085938,2426.095947,2538.187256,12520444224
2024-09-03,2538.160645,2552.802734,2419.875244,2420.60376,11406800197
2024-09-04,2420.192383,2488.916504,2313.265137,2448.977051,16709600747
2024-09-05,2448.986816,2465.385254,2348.863281,2367.737549,13632325040
2024-09-06,2367.700928,2406.511963,2150.863281,2223.876465,25825618367
2024-09-07,2223.929199,2310.194824,2222.10083,2274.107178,11124608320
2024-09-08,2274.437744,2332.359375,2243.911377,2297.292969,10718443487
2024-09-09,2297.89624,2379.786621,2274.115479,2358.482178,15887712451
